STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,1/1/73,0,0,0,64,46,46
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,1/1/73,0.01,0,0,63,51,53
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,1/1/73,0,0,0,65,53,55
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,1/2/73,0,0,0,63,38,43
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,1/2/73,0,0,0,54,32,47
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,1/2/73,0,0,0,55,37,40
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,1/3/73,0,0,0,45,24,37
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,1/3/73,0,0,0,48,25,38
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,1/3/73,0,0,0,44,29,37
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,1/4/73,0.52,0,0,51,32,50
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,1/4/73,0.51,0,0,48,32,42
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,1/4/73,0.53,0,0,50,32,45
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,1/5/73,0,0,0,51,38,44
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,1/5/73,0.03,0,0,46,36,43
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,1/5/73,0,0,0,47,39,42
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,1/6/73,0,0,0,45,29,30
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,1/6/73,0,0,0,44,27,30
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,1/6/73,0,0,0,42,26,28
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,1/7/73,0,0,0,31,19,24
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,1/7/73,0,0,0,30,17,24
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,1/7/73,0,0,0,28,18,24
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,1/8/73,0,0,0,25,18,20
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,1/8/73,0,0,0,27,18,23
USC00189035,"U S SOLDIERS HOME DC, MD US",38.93333,-77.01667,70.1,1/8/73,0,0,0,24,18,22
