Entity,Code,Year,Fossil fuels (TWh)
Africa,,1965,674.3027
Africa,,1966,703.2787
Africa,,1967,708.9625
Africa,,1968,743.4017
Africa,,1969,756.05774
Africa,,1970,810.0495
Africa,,1971,874.98303
Africa,,1972,919.5541
Africa,,1973,998.18195
Africa,,1974,1037.9644
Africa,,1975,1101.1235
Africa,,1976,1194.636
Africa,,1977,1255.0989
Africa,,1978,1307.3665
Africa,,1979,1427.0284
Africa,,1980,1547.7098
Africa,,1981,1748.1517
Africa,,1982,1873.1366
Africa,,1983,1949.0736
Africa,,1984,2004.5527
Africa,,1985,2073.1006
Africa,,1986,2107.2205
Africa,,1987,2193.7727
Africa,,1988,2334.8735
Africa,,1989,2331.0183
Africa,,1990,2418.7266
Africa,,1991,2404.103
Africa,,1992,2450.626
Africa,,1993,2464.4346
Africa,,1994,2548.1604
Africa,,1995,2650.4963
Africa,,1996,2713.391
Africa,,1997,2765.7678
Africa,,1998,2799.8843
Africa,,1999,2884.5903
Africa,,2000,2940.9392
Africa,,2001,3043.2266
Africa,,2002,3084.1934
Africa,,2003,3253.3699
Africa,,2004,3488.7405
Africa,,2005,3501.7732
Africa,,2006,3571.256
Africa,,2007,3706.4438
Africa,,2008,3940.738
Africa,,2009,4002.8389
Africa,,2010,4111.7866
Africa,,2011,4141.997
Africa,,2012,4312.0874
Africa,,2013,4421.3477
Africa,,2014,4529.4595
Africa,,2015,4643.5435
Africa,,2016,4767.709
Africa,,2017,4866.9014
Africa,,2018,4964.6523
Africa,,2019,5043.0825
Africa,,2020,4704.926
Africa,,2021,4996.0977
Africa (BP),,1965,674.3027
Africa (BP),,1966,703.2787
Africa (BP),,1967,708.9625
Africa (BP),,1968,743.40173
Africa (BP),,1969,756.0578
Africa (BP),,1970,810.0495
Africa (BP),,1971,874.98303
Africa (BP),,1972,919.5541
Africa (BP),,1973,998.18195
Africa (BP),,1974,1037.9644
Africa (BP),,1975,1101.1235
Africa (BP),,1976,1194.636
Africa (BP),,1977,1255.0989
Africa (BP),,1978,1307.3665
Africa (BP),,1979,1427.0284
Africa (BP),,1980,1547.7098
Africa (BP),,1981,1748.1519
Africa (BP),,1982,1873.1366
Africa (BP),,1983,1949.0735
Africa (BP),,1984,2004.5527
